time,joint_2,joint_3,joint_4,joint_6
7.574,-1.570799998890354,-1.5707986092330384,-1.571123999994508,-1.570499246701147
7.5760000000000005,-1.57079999860492,-1.5707986131094493,-1.5711237764260106,-1.5704994542304807
7.578,-1.570799998321735,-1.5707986169750159,-1.5711235530117797,-1.5704996616166125
7.58,-1.570799998040786,-1.5707986208297686,-1.5711233297517089,-1.5704998688596414
7.582,-1.5707999977620606,-1.5707986246737378,-1.5711231066456917,-1.5705000759596661
7.5840000000000005,-1.5707999974855458,-1.570798628506954,-1.571122883693622,-1.5705002829167851
7.586,-1.5707999972112288,-1.5707986323294474,-1.5711226608953934,-1.570500489731097
7.588,-1.570799996939097,-1.5707986361412485,-1.5711224382509,-1.5705006964027006
7.59,-1.5707999966691382,-1.5707986399423872,-1.5711222157600353,-1.570500902931694
7.5920000000000005,-1.5707999964013395,-1.5707986437328938,-1.5711219934226939,-1.570501109318176
7.594,-1.5707999961356884,-1.570798647512798,-1.5711217712387695,-1.5705013155622447
7.596,-1.5707999958721728,-1.5707986512821297,-1.5711215492081563,-1.5705015216639986
7.598,-1.57079999561078,-1.570798655040919,-1.5711213273307485,-1.5705017276235356
7.6000000000000005,-1.5707999953514982,-1.5707986587891953,-1.5711211056064405,-1.570501933440954
7.602,-1.5707999950943148,-1.5707986625269885,-1.5711208840351267,-1.5705021391163518
7.604,-1.570799994839218,-1.570798666254328,-1.5711206626167016,-1.5705023446498272
7.606,-1.5707999945861955,-1.5707986699712433,-1.5711204413510595,-1.5705025500414778
7.6080000000000005,-1.5707999943352353,-1.5707986736777637,-1.5711202202380952,-1.5705027552914017
7.61,-1.5707999940863255,-1.5707986773739187,-1.5711199992777032,-1.5705029603996965
7.612,-1.5707999938394543,-1.5707986810597372,-1.5711197784697783,-1.57050316536646
7.614,-1.5707999935946098,-1.5707986847352484,-1.5711195578142154,-1.57050337019179
7.6160000000000005,-1.57079999335178,-1.5707986884004816,-1.5711193373109094,-1.570503574875784
7.618,-1.5707999931109533,-1.5707986920554655,-1.5711191169597551,-1.5705037794185397
7.62,-1.5707999928721181,-1.5707986957002291,-1.5711188967606478,-1.5705039838201542
7.622,-1.570799992635263,-1.5707986993348013,-1.5711186767134822,-1.5705041880807251
7.6240000000000006,-1.5707999924003762,-1.5707987029592108,-1.5711184568181538,-1.5705043922003499
7.626,-1.5707999921674463,-1.5707987065734859,-1.5711182370745576,-1.5705045961791255
7.628,-1.5707999919364617,-1.5707987101776555,-1.571118017482589,-1.5705048000171493
7.63,-1.5707999917074114,-1.570798713771748,-1.5711177980421434,-1.5705050037145185
7.632000000000001,-1.5707999914802837,-1.5707987173557918,-1.5711175787531164,-1.57050520727133
7.634,-1.5707999912550676,-1.570798720929815,-1.5711173596154036,-1.5705054106876806
7.636,-1.5707999910317518,-1.5707987244938462,-1.5711171406289002,-1.5705056139636675
7.638,-1.5707999908103252,-1.5707987280479132,-1.5711169217935022,-1.5705058170993875
7.640000000000001,-1.5707999905907766,-1.5707987315920444,-1.5711167031091051,-1.5705060200949374
7.642,-1.5707999903730951,-1.5707987351262676,-1.5711164845756052,-1.570506222950414
7.644,-1.5707999901572698,-1.5707987386506106,-1.571116266192898,-1.570506425665914
7.646,-1.5707999899432896,-1.5707987421651015,-1.5711160479608794,-1.5705066282415339
7.648000000000001,-1.5707999897311438,-1.570798745669768,-1.5711158298794456,-1.57050683067737
7.65,-1.5707999895208216,-1.5707987491646378,-1.5711156119484928,-1.570507032973519
7.652,-1.5707999893123121,-1.5707987526497382,-1.571115394167917,-1.570507235130077
7.654,-1.5707999891056046,-1.570798756125097,-1.5711151765376146,-1.5705074371471408
7.656000000000001,-1.5707999889006885,-1.5707987595907413,-1.5711149590574818,-1.5705076390248063
7.658,-1.5707999886975534,-1.570798763046699,-1.571114741727415,-1.5705078407631698
7.66,-1.5707999884961885,-1.5707987664929972,-1.5711145245473106,-1.5705080423623274
7.662,-1.5707999882965835,-1.5707987699296628,-1.5711143075170653,-1.5705082438223752
7.664000000000001,-1.570799988098728,-1.5707987733567232,-1.5711140906365757,-1.5705084451434093
7.666,-1.5707999879026113,-1.5707987767742053,-1.5711138739057384,-1.5705086463255253
7.668,-1.5707999877082235,-1.5707987801821361,-1.5711136573244502,-1.5705088473688193
7.67,-1.570799987515554,-1.5707987835805428,-1.571113440892608,-1.570509048273387
7.672000000000001,-1.5707999873245928,-1.5707987869694517,-1.5711132246101085,-1.5705092490393242
7.674,-1.5707999871353295,-1.57079879034889,-1.5711130084768488,-1.5705094496667265
7.676,-1.5707999869477542,-1.570798793718884,-1.571112792492726,-1.5705096501556894
7.678,-1.570799986761857,-1.5707987970794608,-1.571112576657637,-1.5705098505063086
7.68,-1.5707999865776274,-1.5707988004306463,-1.5711123609714792,-1.5705100507186796
7.682,-1.570799986395056,-1.5707988037724674,-1.5711121454341497,-1.5705102507928976
7.684,-1.5707999862141324,-1.5707988071049503,-1.5711119300455458,-1.5705104507290581
7.686,-1.570799986034847,-1.5707988104281214,-1.5711117148055649,-1.5705106505272564
7.688,-1.57079998585719,-1.5707988137420066,-1.5711114997141045,-1.5705108501875875
7.69,-1.5707999856811514,-1.5707988170466323,-1.5711112847710622,-1.5705110497101467
7.692,-1.5707999855067218,-1.5707988203420244,-1.5711110699763355,-1.5705112490950288
7.694,-1.5707999853338914,-1.5707988236282093,-1.571110855329822,-1.570511448342329
7.696,-1.5707999851626506,-1.5707988269052124,-1.5711106408314197,-1.5705116474521423
7.698,-1.57079998499299,-1.57079883017306,-1.5711104264810263,-1.5705118464245635
7.7,-1.5707999848248997,-1.5707988334317775,-1.5711102122785396,-1.5705120452596875
7.702,-1.5707999846583705,-1.5707988366813908,-1.5711099982238577,-1.570512243957609
7.704,-1.5707999844933929,-1.5707988399219255,-1.5711097843168784,-1.5705124425184225
7.706,-1.5707999843299576,-1.570798843153407,-1.5711095705575,-1.5705126409422228
7.708,-1.5707999841680553,-1.570798846375861,-1.5711093569456205,-1.5705128392291043
7.71,-1.5707999840076767,-1.570798849589313,-1.5711091434811382,-1.5705130373791616
7.712,-1.5707999838488127,-1.5707988527937882,-1.5711089301639514,-1.570513235392489
7.714,-1.570799983691454,-1.5707988559893116,-1.5711087169939586,-1.570513433269181
7.716,-1.5707999835355915,-1.5707988591759086,-1.5711085039710582,-1.5705136310093317
7.718,-1.570799983381216,-1.5707988623536044,-1.5711082910951486,-1.5705138286130353
7.72,-1.5707999832283188,-1.570798865522424,-1.5711080783661284,-1.5705140260803863
7.722,-1.5707999830768906,-1.5707988686823924,-1.5711078657838964,-1.5705142234114784
7.724,-1.5707999829269226,-1.5707988718335344,-1.571107653348351,-1.570514420606406
7.726,-1.5707999827784058,-1.570798874975875,-1.5711074410593913,-1.5705146176652625
7.728,-1.5707999826313315,-1.5707988781094389,-1.5711072289169161,-1.5705148145881422
7.73,-1.5707999824856906,-1.5707988812342506,-1.5711070169208243,-1.570515011375139
7.732,-1.5707999823414747,-1.5707988843503349,-1.571106805071015,-1.5705152080263463
