time,joint_2
1.344,-0.14565424925123985
1.346,-0.14598386785841322
1.348,-0.14631034181383049
1.35,-0.14663361838462138
1.352,-0.14695364536563438
1.354,-0.14727037108766602
1.356,-0.14758374442560085
1.358,-0.1478937148064605
1.36,-0.1482002322173611
1.362,-0.1485032472133776
1.364,-0.14880271092531425
1.366,-0.1490985750673797
1.368,-0.1493907919447661
1.37,-0.1496793144611308
1.372,-0.14996409612597994
1.374,-0.15024509106195238
1.3760000000000001,-0.1505222540120037
1.3780000000000001,-0.1507955403464886
1.3800000000000001,-0.15106490607014103
1.3820000000000001,-0.15133030782895124
1.3840000000000001,-0.1515917029169384
1.3860000000000001,-0.15184904928281823
1.3880000000000001,-0.15210230553656456
1.3900000000000001,-0.15235143095586398
1.3920000000000001,-0.15259638549246266
1.3940000000000001,-0.1528371297784045
1.3960000000000001,-0.15307362513215983
1.3980000000000001,-0.15330583356464372
1.4000000000000001,-0.15353371778512312
1.4020000000000001,-0.15375724120701215
1.4040000000000001,-0.1539763679535546
1.4060000000000001,-0.15419106286339307
1.408,-0.15440129149602372
1.41,-0.1546070201371362
1.412,-0.15480821580383797
1.414,-0.15500484624976207
1.416,-0.15519687997005818
1.418,-0.15538428620626574
1.42,-0.15556703495106883
1.422,-0.1557450969529322
1.424,-0.1559184437206176
1.426,-0.1560870475275801
1.428,-0.15625088141624358
1.43,-0.15640991920215502
1.432,-0.156564135478017
1.434,-0.15671350561759775
1.436,-0.15685800577951842
1.438,-0.15699761291091704
1.44,-0.1571323047509887
1.442,-0.15726205983440128
1.444,-0.15738685749458678
1.446,-0.15750667786690725
1.448,-0.15762150189169533
1.45,-0.1577313113171688
1.452,-0.157836088702219
1.454,-0.15793581741907237
1.456,-0.15803048165582523
1.458,-0.1581200664188511
1.46,-0.15820455753508048
1.462,-0.1582839416541528
1.464,-0.1583582062504401
1.466,-0.15842733962494232
1.468,-0.15849133090705406
1.47,-0.1585501700562023
1.472,-0.1586038478633552
1.474,-0.1586523559524015
1.476,-0.15869568678140064
1.478,-0.1587338336437032
1.48,-0.1587667906689417
1.482,-0.15879455282389154
1.484,-0.15881711591320202
1.486,-0.15883447657999736
1.488,-0.15884663230634755
1.49,-0.15885358141360925
1.492,-0.15885532306263642
1.494,-0.15885185725386072
1.496,-0.15884318482724188
1.498,-0.15882930746208773
1.5,-0.15881022767674421
1.502,-0.15878594882815542
1.504,-0.15875647511129334
1.506,-0.15872181155845796
1.508,-0.1586819640384474
1.51,-0.15863693925559835
1.512,-0.158586744748697
1.514,-0.15853138888976048
1.516,-0.15847088088268915
1.518,-0.15840523076178967
1.52,-0.1583344493901693
1.522,-0.1582585484580017
1.524,-0.15817754048066396
1.526,-0.1580914387967459
1.528,-0.15800025756593108
1.53,-0.15790401176675056
1.532,-0.15780271719420916
1.534,-0.15769639045728467
1.536,-0.15758504897630074
1.538,-0.15746871098017312
1.54,-0.15734739550353016
1.542,-0.15722112238370778
1.544,-0.15708991225761926
1.546,-0.1569537865585003
1.548,-0.15681276751252995
1.55,-0.15666687813532748
1.552,-0.15651614222832605
1.554,-0.15636058437502354
1.556,-0.15620022993711094
1.558,-0.1560351050504789
1.56,-0.15586523662110302
1.562,-0.15569065232080834
1.564,-0.1555113805829137
1.566,-0.15532745059775638
1.568,-0.15513889230809796
1.57,-0.1549457364044116
1.572,-0.15474801432005156
1.574,-0.15454575822630595
1.576,-0.15433900102733267
1.578,-0.1541277763549798
1.58,-0.15391211856349094
1.582,-0.15369206272409636
1.584,-0.1534676446194903
1.586,-0.15323890073819568
1.588,-0.15300586826881662
1.59,-0.1527685850941798
1.592,-0.15252708978536517
1.594,-0.15228142159562721
1.596,-0.15203162045420726
1.598,-0.1517777269600378
1.6,-0.15151978237533978
1.602,-0.15125782861911363
1.604,-0.15099190826052497
